komentar;label;label_id;clean_text
@genishiu @tempodotco Kepala dinas pendidikan sudah merespon  hal ini;neutral;1;kepala dinas didik merespon
Dunia pendidikan indonesia ga membutuhkan studi banding..yg di butuhkan studi kasus...pergi aja lu ke pelosok mengkampanyekan kurikulum lu tsb dg segala tuntutan fasilitasnya..dijamin kena sambit pala lu...;negative;0;dunia didik indonesia butuh studi banding butuh studi pergi pelosok kampanye kurikulum tsb tuntut fasilitas jamin kena sambit pala
@tempodotco Bang matematikanya dulu atuh;negative;0;bang matematika atuh
@criticast_ @tempodotco Buzzer WAbah dengki;negative;0;buzzer wabah dengki
@octizc @tempodotco Tbh it is really good idea, karena memang ada pengenalannya dari umur 5 tahun, tapi kalau diterapin di indonesia i think cuma bakal jadi ladang korupsi doang.;positive;2;tbh really good idea kenal umur diterapin indonesia think ladang korupsi doang
"@roxette_____ @arlandwilman @tempodotco Anak yg mana?
Semua pelajar SMP SMA sdh diajarkan operasikan komputer MS-Ofiice window dll";positive;2;anak ajar smp sma ajar operasi komputer ofiice window dll
@AbiTohirin98031 @tempodotco Ngapain jg benci gibran, ga ada urusan pak, urusan sy sebagai rakyat ga terima demokrasi, hukum, katanya 99,9% gibran adl fufufafa, dll, dimain2in ama keluarga, kroninya dan para buzzernya keluarga pak jokowi itu aja. Sesimpel itu pak mau nya rakyat waras.;negative;0;ngapain benci gibran urus urus rakyat terima demokrasi hukum gibran adl fufufafa dll main ama keluarga kroni buzzernya keluarga jokowi simpel nya rakyat waras
"@tempodotco Anak SMA menasehati Prof, Dr !!!
Hasil Rekayasa menasehati hasil kerja keras !!!
Semoga Rakyat Indonesia diberikan keselamatan dari Pemimpin2 yang Dzalim dan Bodoh !
Aamiiiiiiin
@PPPemudaMu 
@gibran_tweet 
@kaesangp 
@prabowo";negative;0;anak sma nasehat prof hasil rekayasa nasehat hasil kerja keras moga rakyat indonesia selamat pimpin dzalim bodoh aamiiiiiiin
"@tempodotco Guru nya cuk benerin dulu, jangankan coding &amp; Ai, laptop anak bermasalah, contoh cursor hilang aja ga tau solusinya, dari pagi sampe sore semua guru coba benerin, tp ga ada yg berhasil, termasuk yg dianggap jago komputer/IT di sekolah itu...setingkat Guru SMP itu loh kek gitu";negative;0;guru nya cuk benerin coding amp laptop anak masalah contoh cursor hilang tau solusi pagi sampe sore guru coba benerin hasil anggap jago komputer sekolah tingkat guru smp kek
@IskandarRully @Wicaksono_J @tempodotco Paman loe tolooool kali..;negative;0;paman loe tolooool kali
@Ifundvm04 @tempodotco Tetap wakil presiden.. loe jadi sampah pembenci nya..;negative;0;wakil presiden loe sampah benci nya
@tempodotco Mata pelajaran pilihan kalau tidak *wajib* bakal memarik sih;positive;2;mata ajar pilih wajib parik sih
@tempodotco Hidup berat makin susah dunia gelaaap Fufufafa di pecat aja;negative;0;hidup berat susah dunia gelaaap fufufafa pecat
@PEACEMINU5ONE @ProgJoki @tempodotco Dan logika nalar dibentuk dari troubleshooting matematika basic  skrg kalo modelan yg kaya di video mau ngarep apa, yg ada ketinggalan materi doang, bakar waktu;neutral;1;logika nalar bentuk troubleshooting matematika basic skrg model kaya video ngarep tinggal materi doang bakar
@tempodotco Gegayaan ngoding, kemaren liat anak sekolah ga bisa baca jam analog kan?;negative;0;gegayaan ngoding kemaren liat anak sekolah baca jam analog
@tempodotco Oalah pantesan, tolonglah matengin dulu karakter dan moral. AI gampang kok bisa nanti kalo udah SMA;negative;0;oalah pantesan tolong matengin karakter moral gampang udah sma
@tempodotco UARGBBBHHHHHH PENDIDIKAN TUH MBOK YA JANGAN DIPAKAI BUAT COBA COBA.;negative;0;uargbbbhhhhhh didik tuh mbok pakai coba coba
@tempodotco Harusnya ditingkatkan pelajaran budi pekerti,akhlak dan etika;neutral;1;tingkat ajar budi pekerti akhlak etika
@tempodotco Sekali lagi gibran bisa muncul karena apa? Karena para pemilih jokowi yang bloon itu.;negative;0;gibran muncul pilih jokowi bloon
@tempodotco Kalau memang sasarannya agar anak2 indo ga buta iptek, ga perlu sampe diajarin coding dan AI sejak SD dan SMP. Kejauhan itu. Bisa basic komputer dan Microsoft Office aja udah cukup untuk tingkat SD dan SMP.;positive;2;sasar anak indo buta iptek sampe diajarin coding smp jauh basic komputer microsoft office udah tingkat smp
@tempodotco SD coding? Mending balikin mata pelajaran PPKN biar diajarkan Adab dan hargain orang lebih tua terutama  guru.;negative;0;coding mending balikin mata ajar ppkn biar ajar adab hargain orang tua guru
@tempodotco Itu Wapres kita ., hrs dihormati... jangan diEjek...mang da kipintingan OPO?;negative;0;wapres hrs hormat ejek mang kipintingan opo
@tempodotco Saya kok senang baca komen temen2 malahan;positive;2;senang baca komen temen
@tempodotco Pegawai kemen yang pontang-panting karena minimnya sarana di tingkat SD-SMP be like: https://t.co/nWDECGKRVr;neutral;1;pegawai kemen pontang panting minim sarana tingkat smp like
@tempodotco Temen gw guru, dia cerita muridnya di smp aja masih ada yang ga tau cara nyalain komputer, cok. Kecerdasan buatan, kecerdasan buatan, otak lu noh cerdasin dulu baru ngomongin pendidikan, asu.;negative;0;temen guru cerita murid smp tau nyalain komputer cok cerdas buat cerdas buat otak noh cerdasin ngomongin didik asu
@tempodotco Ipk 2 koma ngasih usulan ttg pendidikan;neutral;1;ipk koma ngasih usul ttg didik
@tempodotco Tambahan dana alokasi lagi rekk;neutral;1;tambah dana alokasi rekk
@tempodotco Seperti biasa program baguss. Syang fasilitas belom memadai. Udah bisa ketebakk endingnya kaya yang sudah-sudah;negative;0;program baguss syang fasilitas bom pada udah ketebakk endingnya kaya
"@DSis48 @arlandwilman @tempodotco lagi pula, mata kuliah AI tuh dah gaada dasarnya yg bisa masuk ke anak sd smp. Orang hitungan dasarnya aja diperoleh dari mtk sma.
Berarti bener kan gibran asal ceplos";negative;0;mata kuliah tuh gaada dasar masuk anak smp orang hitung dasar oleh mtk sma bener gibran ceplos
"@tempodotco apa blio ini ga sadar kalo anak sd sekarang banyak gabisa baca &amp; hitung? trus sekarang mau dikasih coding? tolong lah realistis dikit";negative;0;blio sadar anak gabisa baca amp hitung trus kasih coding tolong realistis dikit
@DSis48 @arlandwilman @tempodotco nah sesuai dengan yg gua bilang, dasar AI dan Koding itu logika dan mtk. ya di sd smp diajarkan saja logika dan mtk, koding pakai scratch. berarti apa? koding dan AI tidak perlu dimasukan ke pembelajaran sd smp cukup mtk dan logika saja sebenarnya;positive;2;sesuai gua bilang dasar koding logika mtk smp ajar logika mtk koding pakai scratch koding masuk ajar smp mtk logika
@tempodotco minimal ratain dulu fasilitas semua sekolah. tiba2 bgt disuruh belajar ngoding padahal pelajar kita masi banyak yang kemampuan matematikanya dibawah rata2, hadehh;negative;0;minimal ratain fasilitas sekolah suruh ajar ngoding ajar mas mampu matematika bawah hadehh
@tempodotco Mending hafal perkalian dulu ga sih? Mending tau nama pahlawan-pahlawan nasional dulu ga sih? Mending tau nama ibukota semua provinsi dulu ga sih? Mending diajarin tatakrama ngomong ke guru dulu ga sih? OIYA, SATU LAGI! Mending perhatikan kesejahteraan guru honorer dulu ga sih??;neutral;1;mending hafal kali sih mending tau nama pahlawan pahlawan nasional sih mending tau nama ibukota provinsi sih mending diajarin tatakrama ngomong guru sih oiya mending perhati sejahtera guru honorer sih
@tempodotco Hadeh;neutral;1;hadeh
"@tempodotco Ijazahnya aje kgk jelas. Bokapnye juga, kok biza2nya kasih masukan. Pidato aje hrus pake telepromter 
Ambyaarrr";negative;0;ijazah aje kgk bokapnye biza nya kasih masuk pidato aje hrus pake telepromter ambyaarrr
 Pendidikan dasar harusnya fokus menggugah keingintahuan dan rasa tanggungjawab siswa terhadap pendidikan (termasuk akhlak dan fokus dalam belajar). Yang fundamental dulu dibangun dalam pendidikan dasar baru seterusnya pengembangan dari cabang ilmu yang diminati siswa;neutral;1;didik dasar fokus gugah keingintahuan tanggungjawab siswa didik akhlak fokus ajar fundamental bangun didik dasar kembang cabang ilmu mati siswa
"@tempodotco Paling semua itu bisikan dari team konsultannya. . Ngomong kayak yg ngerti. 
Yg paling pertama dan terpenting adlh Pendidikan budi pekerti buat anak2. Setelahnya menyusul mata pelajaran yg lain.";negative;0;bisik team konsultan ngomong kayak ngerti penting adlh didik budi pekerti anak telah susul mata ajar
@tempodotco sekolahÂ² di daerah? di pelosok? mau modalin laptop / PC yg memadai buat coding nyaaaaa???;negative;0;sekolah daerah pelosok modalin laptop pada coding nyaaaaa
@tempodotco Zonasi tuh zonasi di hapuss;neutral;1;zonasi tuh zonasi hapuss
"@tempodotco Lo diem aja bisa ga sih!!! Ko adaaa ajaa bahan minta d bully... 
Min ikutan semester pendek buat benerin IPK !!";negative;0;diem sih adaaa ajaa bahan bully min ikut semester pendek benerin ipk
@tempodotco Lu aja kemungkinan ga ngerti :(;negative;0;ngerti
@Wicaksono_J @tempodotco FASILITASNYA APA NGENTD!!;negative;0;fasilitas ngentd
"@tempodotco Janganlah...  SDM untuk pengajar belum mencukupi seluruh wilayah negeri. Masukin aja kurikulum logika dasar pemrograman, matematika lanjut &amp; diskrit, evaluasi kesiapan jangkauan internet  di seluruh wilayah (belajar ketertarikan ngoding butuh interaksi antar interface &amp; library)";positive;2;sdm ajar cukup wilayah negeri masukin kurikulum logika dasar pemrograman matematika amp diskrit evaluasi kesiap jangkau internet wilayah ajar tari ngoding butuh interaksi interface amp library
@DSis48 @4tahunlulusamin @arlandwilman @tempodotco bacotmu diajarkan komputerpunya gedung yg punya listrik ngak hidup mati saja sudah setengah mampus, ada ribuan sekolah, guru mapelnya saja masih kekurangan apalagi untuk dapat guru yg ngajar komputer, internet, realistis bro, jangan asal bacot;negative;0;bacot ajar komputerpunya gedung listrik ngak hidup mati mampus ribu sekolah guru mapelnya kurang guru ngajar komputer internet realistis bro bacot
@biruterank Jadi warga negara malaysia seru tak ee;negative;0;warga negara malaysia seru
@tempodotco Nnti kalo website pemerintah di hack anak SD. Jgn marah yaa;negative;0;nnti website perintah hack anak jgn marah yaa
@tempodotco Asyik anak sd suruh belajar ai...ntar nanya di chatgpt 'apakah benar kalau budi itu adik wati'....hahaha...sebenarnya tuh bocah  nyadar ga sih ama ucapannya....apa asal bunyi biar kelihatan keren...kekinian;negative;0;asyik anak suruh ajar ntar nanya chatgpt budi adik wati hahaha tuh bocah nyadar sih ama ucap bunyi biar keren kini
@axyudha @Pwushink @tempodotco ap nih ak ga diajak;neutral;1;nih ajak
"@tempodotco Saya ngajar kls X smk basik Microsoft word, excel, ppt saja mereka baru mengenal kalau mau ada mapel coding &amp; ai mohon dengan sangat setiap sekolah siswa dan guru diberikan fasilitas yg mumpuni";neutral;1;ngajar kls smk basik microsoft word excel ppt kenal mapel coding amp mohon sekolah siswa guru fasilitas mumpuni
@tempodotco Idenya jelek kayak mukanya;negative;0;ide jelek kayak muka
@tempodotco nih orang ngomong mikir atau cuma baca doang sih?;negative;0;nih orang ngomong mikir baca doang sih
@tempodotco bro ini belum tau kah ada video anak kelas 12 IPA dikasih perkalian dasar ga bisa? maksud saya, quality dulu dimaksimalkan dari jenjang paling dasar gitu...;negative;0;bro tau kah video anak kelas ipa kasih kali dasar maksud quality maksimal jenjang dasar
Astaga, IPK-mu cuma 2,3 kok bicara soal pendidikan?;neutral;1;astaga ipk bicara didik
@tempodotco Orang ngelanggar hukum ber ipk rendah sok sokan mu ngsih masukan buat pendidikan;negative;0;orang ngelanggar hukum ber ipk rendah sok sok ngsih masuk didik
@tempodotco Ga yakin dia sendiri bisa wkwkk;negative;0;wkwkk
@tempodotco Mending guru2nya dulu disejahrerakan;neutral;1;mending guru nya disejahrerakan
@tempodotco Sd smp tu tugasnya belajar menjalin komunikasi sama orang, belajsr ilmu dasar, ngada2 aja;negative;0;smp tugas ajar jalin komunikasi orang belajsr ilmu dasar ngada
"@tempodotco Boro2 mau coding...
Kmrn ada video anak sekolah (smp/sma) ditanya 6+10 dijawab 60..";negative;0;boro coding kmrn video anak sekolah smp sma
@tempodotco Cape bgt liatnya, pak wapres apa gatau hal2 yg fundamental anak matematika aja gabisa disuruh lagi belajar coding BKN perbaiki bagian yg salahnya malah nambahin masalah;negative;0;cape liat wapres gatau fundamental anak matematika gabisa suruh ajar coding bkn baik salah nambahin
@tempodotco Harus di benerin dasarnya dulu wong perkalian aja masih ga hapal gimana mau coding kan itu teh perlu rumus gibran !!!;negative;0;benerin dasar kali hapal gimana coding teh rumus gibran
@tempodotco please pak, bapak nggak lihat yang lagi trend di tiktok anak SMA nggak bisa perhitungan sederhana seperti perkalian dan pembagian? lah ini malah disuruh ada mapel AI dan coding;negative;0;please lihat trend tiktok anak sma hitung sederhana kali bagi suruh mapel coding
@tempodotco Si paling digital;neutral;1;digital
@tempodotco Mending perkuat dlu basic solving problemnya, banyak anak smp bahkan sma yang basic calistung aja masih belum mahir. Apalagi suruh belajar ai, DL, ML dengan sgala algoritmanya based on statistika dan aljabar?;neutral;1;mending kuat dlu basic solving problem anak smp sma basic calistung mahir suruh ajar sgala algoritmanya based statistika aljabar
@tempodotco Mau heran tp ipk 2,3. Ya emang ga ngotak ngasih statement, dari debat wapres cm bahas gini biar sok pinter bagi yg gapaham;negative;0;heran ipk emang ngotak ngasih statement debat wapres bahas gin biar sok pinter gapaham
@tempodotco Gimna jadinya nasib negara jika ditentukan dari kebijakan yang asal bunyi, tanpa kajian ilmiah, hanya gimmick semata.;negative;0;gimna nasib negara tentu bijak bunyi kaji ilmiah gimmick
@tempodotco Tadi pagi denger berita begini di radio, trus penyiarnya blg ada baiknya anak SD lebih di ajarin tata krama dasar, karna ya ngeliat kasusÂ² yang ada sekarang sama liat secara nyata dilingkungan emg kata sederhana kayak makasih, maaf,atau permisi jd kyk kata yg asing buat bbrp org;negative;0;pagi denger berita radio trus siar blg baik anak ajarin tata krama dasar karna ngeliat liat nyata lingkung emg sederhana kayak makasih maaf permisi kyk asing bbrp org
@tempodotco Jangan kan coding dan AI pa, internet (wifi) aja masih banyak yg belum dapat, chromebook pun tidak dapat, sejahterakan dlu saja para guru honorer, siswa kurang mampu dan sekolah yang layak, baru berbicara selanjut nya;negative;0;coding internet wifi chromebook sejahtera dlu guru honorer siswa sekolah layak bicara lanjut nya
"@tempodotco Coding? Buat anak sd-smp?
Dia ngerti ga sih ilmu dasar buat belajar pengcodingan apa?

Malu sama jabatan mas kalo asbun gini";negative;0;coding anak smp ngerti sih ilmu dasar ajar pengcodingan malu jabat mas asbun gin
@tempodotco mendingan fokusin lagi ke PKN, sains (biologi, kimia, fisika), matematika yg ga dibikin ribet.. drpd anak jaman skrg dikit2 bikin vt tiktok, coding/ai cukup di pelajaran komputer atau jd ekskul aja, mas gibran..;positive;2;mending fokusin pkn sains biologi kimia fisika matematika bikin ribet drpd anak jaman skrg dikit bikin tiktok coding ajar komputer ekskul mas gibran
@shootyoudownz @tempodotco anj adi aing sampe skrg masih berkutat dgn cara bikin kop surat dan tabel;neutral;1;kasar adi aing sampe skrg kutat dgn bikin kop surat tabel
@tempodotco Pendidikan dasar lebih utama ke personal spt ajarn berbagi, empati, manner, budaya indo, gotong royong, bela rasa dan berkomunikasi. Pendidikan nalar mungkin lebih tepat pada pend menengah, setelah matang pend dasar nya.;positive;2;didik dasar utama personal spt ajarn bagi empati manner budaya indo gotong royong bela komunikasi didik nalar pend tengah matang pend dasar nya
@tempodotco mending suruh belajar yg dasarÂ² dulu deh;neutral;1;mending suruh ajar dasar
@wqwqwqq9 @Tokopaediii @tempodotco Es kolding;neutral;1;kolding
@tempodotco La klo dipelosok msh jarang anak SD/SMP pegang gadget apalagi komputer trs klo mau belajar coding pake apa mas wapres, mosok pake simpoa;negative;0;klo pelosok msh jarang anak smp pegang gadget komputer trs klo ajar coding pake mas wapres mosok pake simpoa
@criticast_ @Leni05128762806 @tempodotco Udah biarin bang, itu akun pake angka baris. Buang buang tenaga lawan buzzer;neutral;1;udah biarin bang akun pake angka baris buang buang tenaga lawan buzzer
@tempodotco Hafal perkalian 1-10 aja dah syukur bang, bisa nulis dgn huruf yg jelas dibaca aja alhamdulillah;neutral;1;hafal kali syukur bang nulis dgn huruf baca alhamdulillah
@tempodotco Saya pernah mengajar TIK di SMP. Anaknya pegang mouse aja susahnya, ngajarin berpikir komputasi dasar saja rasanya sulit, apalagi coding.;negative;0;ajar tik smp anak pegang mouse susah ngajarin pikir komputasi dasar sulit coding
@tempodotco ya Allah elu kaga terjun langsung ke lapangan ya kaga usah lahh ngasih wejangan begitu namanya sekolah dasar itu ya pelajarin dasar dluu bjirr bisa mikir dikit ngga?;negative;0;allah elu kaga terjun langsung lapang kaga lahh ngasih wejang nama sekolah dasar pelajarin dasar dluu bjirr mikir dikit
@tempodotco dongo;negative;0;dongo
@tempodotco Biar pandai seperti beliaauu...;positive;2;biar pandai beliaauu
@tempodotco IPK naikin dulu lah, kalo perlu ngulang kuliah, baru omongan dia bisa ditanggepin;neutral;1;ipk naikin ngulang kuliah omong ditanggepin
Zaman digital gini, metode belajar juga mesti update terus ya. Ada ide?;neutral;1;zaman digital gin metode ajar mesti update ide
Untuk pengembangan kurikulum, emang butuh masukan dari banyak ahli sih biar pas.;neutral;1;kembang kurikulum emang butuh masuk ahli sih biar pas
Program pendidikan yang lalu lagi dievaluasi nih. Kira-kira ada perbaikan apa ya ke depan?;neutral;1;program didik evaluasi nih baik
Materi coding buat anak sekolah itu harusnya disesuaikan umur nggak sih? Biar nggak berat;neutral;1;materi coding anak sekolah sesuai umur sih biar berat
@tempodotco kebanyakan gaya, gaji guru aja dlu tuh kasih yg layak, sm pendidikan yg rata. gausah aneh2;negative;0;banyak gaya gaji guru dlu tuh kasih layak didik gausah aneh
@tempodotco Broo ...pedidikan dr dulu banyak masalahnya broo..gk beres sampai sekarang..itu terlalu jauh...sekolah di pedalman saja belum beres...anak2 juga bnyak yg tidak bisa sekolah...guru bnyak juga yg terpuruk ...terjun kelapangan dulu..broo;neutral;1;broo didik broo beres sekolah pedalman beres anak bnyak sekolah guru bnyak puruk terjun lapang broo
@tempodotco Urgensinya apa sih? Coba jelasin sini;neutral;1;urgensi sih coba jelasin
"@tempodotco Proyek nihh... 
Kira2 siapa yang mengawasi ya nanti?";neutral;1;proyek nihh awas
 Jangan biarkan waktu anak habis belajar coding;negative;0;biar anak habis ajar coding
@tempodotco Improve the math and logic first!!;neutral;1;improve the math and logic first
@tempodotco tambah2an ae ga iso kok dsuruh coding;negative;0;iso dsuruh coding
@tempodotco Ini bisa dibilang asbun ga sih;neutral;1;bilang asbun sih
@tempodotco Kembalikan calistung, ilmu bumi, ilmu sosial, dan pmp/ppkn untuk SD aja boleh ga?;neutral;1;kembali calistung ilmu bumi ilmu sosial pmp ppkn
@tempodotco Bayar sekolah saja susah, apalagi dengan beli perangkat Komputer dengan spek tinggi.Dipikir Jan etes, yang apaÂ² bs langsung keturutan semua kebutuhan sekolahnya,;negative;0;bayar sekolah susah beli perangkat komputer spek pikir jan etes langsung turut butuh sekolah
@tempodotco Nek mau sih dijadiin ekskul atau pelajaran tambahan. Tp ini msh ttp bahaya terutama buat ortu2 yg ambis tp ga ngeliat kondisi anak, ngko anak e teko dilebokkan padahal aritmatik dasar we kangelan;positive;2;nek sih dijadiin ekskul ajar tambah msh ttp bahaya ortu ambis ngeliat kondisi anak ngko anak teko dilebokkan aritmatik dasar kangelan
@btarigan906 @Billiardoo @tempodotco  ngapain gila. Malah lucu liat negara dari jauh kaya dagelan tp didukung trus sma buzzer modelan bgini yg justru mau negaranya ancur. Rezim gawaras  ludukung penuh. Sama ga warasnya lupada demi duit. Semua disangkutin  pilpres. Basi . Liat noh pasir laut dicuri. Tau ga lu;negative;0;ngapain gila lucu liat negara kaya dagel dukung trus sma buzzer model bgini negara ancur rezim gawaras ludukung penuh waras lupada duit disangkutin pilpres basi liat noh pasir laut curi tau
@tempodotco Tapi yo mugo2 iki mung ngomong (ben ketok iso ngomong) yoo ora tenanan di cakkan;neutral;1;mugo iki mung ngomong ben ketok iso ngomong yoo ora tenanan cak
@sichelsan @arlandwilman @tempodotco Para ahli kemana ya sis. Mingkem rapet semua manut bae2 sma ide modelan bgitu. Parah udah;neutral;1;ahli mana sis mingkem rapet manut bae sma ide model bgitu parah udah
"@tempodotco Hahaha... netizen kenapa serius2 amat komennya, termasuk saya (awalnya)
Tapi sy ingat2 lagi, yg ngomong ini ga tahu beda asam sulfat dan asam folat..jadi ga usah gimana2
wkwkwk";neutral;1;hahaha netizen serius komennya ngomong beda asam sulfat asam folat gimana wkwkwk
@tempodotco Buset dah ni anak papa. Dia ga tau apa ga semua anak sekolah punya kapasitas buat bisa coding. Iso nganggo word excel we wes alhamdulillah. Mending ki lu ases bocah2 ki karakteristik bljr e koyo opo dadi koe iso gawe kebijakan sg pas ro karakteristik bocah indonesia;negative;0;buset anak papa tau anak sekolah kapasitas coding iso nganggo word excel wes alhamdulillah mending ases bocah karakteristik bljr koyo opo dadi koe iso gawe bijak pas karakteristik bocah indonesia
@btarigan906 @Billiardoo @tempodotco Inilah ciri dari orang2 egois mutlak, udah tua tp ga dewasa, yg penting perut sendiri kenyang. Perkara org lain jelungup gantung diri perkara pinjol ya ga urua. Haha sakit otak dan hati sih ini udah. Cepet sembuh ya wak. Ksian anak2mu klo dpt contoh org tua yg ga ada empati bgini;negative;0;ciri orang egois mutlak udah tua dewasa perut kenyang perkara org jelungup gantung perkara pinjol urua haha sakit otak hati sih udah cepet sembuh wak ksi anak klo dpt contoh org tua empati bgini
"@tempodotco Harusnya, bilang aja anak2 SD mulai diperkenalkan dg coding dan AI (agar tdk mudah tertipu dunia maya).
Saat pelajaran berakhir.. ditambah 1 jam dg cara yg menarik dg mendatangkan pelatih2 profesional yg dibiayai negara.
Agar anak2 kita ga heran ketika ada foto bs nyanyi, joget2";neutral;1;bilang anak kenal coding mudah tipu dunia maya ajar tambah jam tarik latih profesional biaya negara anak heran foto nyanyi joget
@tempodotco Coding dan Ai dia bilang, hey fufufafa kau bilang sama kembaran kau itu ya, anak SD yg byak gw temui calistung yaitu baca tulis hitung, itu aja udah buat mereka tantrum, gelawan, bomat, yg penting tetap naik kelas. elu pikir ni negara isinya jenius doank, org kocak yg byak.;positive;2;coding bilang hey fufufafa kau bilang kembar kau anak byak temu calistung baca tulis hitung udah tantrum gawan bomat kelas elu pikir negara isi jenius doank org kocak byak
@tempodotco Mustinya dibalikin ke Gibran, emang dia paham itu coding janganÂ² tahunya dia hilirisasi digital #taex;neutral;1;mustinya dibalikin gibran emang paham coding tahu hilir digital
@tempodotco Hitungan matematis sederhana aja belum bener wkwkwk;neutral;1;hitung matematis sederhana bener wkwkwk
@tempodotco Perkuat daya pikir logika dan moral dulu ga sih utk anak SD? Pinter coding tapi ga punya empati dan tenggang rasa kan ngeriiiii, kayak miara monster.;neutral;1;kuat daya pikir logika moral sih utk anak pinter coding empati tenggang ngeriiiii kayak miara monster
@tempodotco 8 / 4 saja banyak yang masih bingung udah ngurusin AI dan coding;neutral;1;bingung udah ngurusin coding
@4tahunlulusamin @arlandwilman @tempodotco Awal munculnya komputer, sy pas SMA kelas 1 hrs belajar dr dasar dr pengenalan, menurutku itu sdh terlambat, harusnya dasar2 itu diajarkan dari awal, itu yg sy maksud, sekarang AI minimal anak2 sdh mengenal dasarnya, kedepan tinggal mendalami, jgn lu kenal ketika udah kuliah.;positive;2;muncul komputer pas sma kelas hrs ajar dasar kenal turut lambat dasar ajar maksud minimal anak kenal dasar depan tinggal dalam jgn kenal udah kuliah
@tempodotco Nih yaa pentingnya sekolahhh;positive;2;nih yaa sekolahhh
@tempodotco Semakin menggambarkan bahwa dia bisanya cuma asbun istilah-istilah modern aja biar dibilang keren;neutral;1;gambar bisa asbun istilah istilah modern biar bilang keren
@tempodotco Padahal setiap anak memiliki minat dan bakatnya masing2, padahal kalo cm ngoding mah minta chat gpt bikin kan aja jadi codingnya;negative;0;anak milik minat bakat ngoding chat gpt bikin codingnya
@faried_radityo @tempodotco Komputerrr, layak ajah deh dulu banyak sekolah ga layak di bilang sekolahan;neutral;1;komputerrr layak ajah sekolah layak bilang sekolah
@tempodotco Disuruh nyebut negara Eropa aja jawabannya Garut, ini lagi disuruh coding;neutral;1;suruh nyebut negara eropa jawab garut suruh coding
@tempodotco bisa fokus ke pemerataan pendidikan nya dulu ga sih, tolong ini mah tolong;neutral;1;fokus perata didik nya sih tolong tolong
@tempodotco belajar ngetik aja dulu elah, ngapa buru2 dah. terus SMA belajar excel. kepake tuh;negative;0;ajar ngetik elah ngapa buru sma ajar excel kepake tuh
@tempodotco Loker programmer aja sedikit di Indonesia malah semua sekolah disuruh belajar coding;negative;0;loker programmer indonesia sekolah suruh ajar coding
@tempodotco wah keren banget usulnya, pasti telah diriset dan dipertimbangkan sebelum memberi usul tersebut.;positive;2;keren usul riset timbang usul
@tempodotco Bukan sy ga setuju tp coding dan ai itu alat bantu belajarnya mahal dan ga semua sekolah2 memilikinya, mungkin langkah awalnya di setarakan dulu fasilitasnya;neutral;1;tuju coding alat bantu ajar mahal sekolah milik langkah tara fasilitas
@tempodotco ngapain deh, perkalian dasar aja banyak yg belum hapal ââï¸;negative;0;ngapain kali dasar hapal
