komentar;label
@tempodotco minimal ratain dulu fasilitas semua sekolah. tiba2 bgt disuruh belajar ngoding padahal pelajar kita masi banyak yang kemampuan matematikanya dibawah rata2, hadehh;negative
;
;
;
@tempodotco Mending hafal perkalian dulu ga sih? Mending tau nama pahlawan-pahlawan nasional dulu ga sih? Mending tau nama ibukota semua provinsi dulu ga sih? Mending diajarin tatakrama ngomong ke guru dulu ga sih? OIYA, SATU LAGI! Mending perhatikan kesejahteraan guru honorer dulu ga sih??;neutral
@tempodotco Hadeh;neutral
"@tempodotco Ijazahnya aje kgk jelas. Bokapnye juga, kok biza2nya kasih masukan. Pidato aje hrus pake telepromter 
Ambyaarrr";negative
 Pendidikan dasar harusnya fokus menggugah keingintahuan dan rasa tanggungjawab siswa terhadap pendidikan (termasuk akhlak dan fokus dalam belajar). Yang fundamental dulu dibangun dalam pendidikan dasar baru seterusnya pengembangan dari cabang ilmu yang diminati siswa;neutral
"@tempodotco Paling semua itu bisikan dari team konsultannya. . Ngomong kayak yg ngerti. 
Yg paling pertama dan terpenting adlh Pendidikan budi pekerti buat anak2. Setelahnya menyusul mata pelajaran yg lain.";negative
@tempodotco sekolah² di daerah? di pelosok? mau modalin laptop / PC yg memadai buat coding nyaaaaa???;negative
@tempodotco Zonasi tuh zonasi di hapuss;neutral
"@tempodotco Lo diem aja bisa ga sih!!! Ko adaaa ajaa bahan minta d bully... 
Min ikutan semester pendek buat benerin IPK !!";negative
@tempodotco Lu aja kemungkinan ga ngerti :(;negative
@Wicaksono_J @tempodotco FASILITASNYA APA NGENTD!!;negative
"@tempodotco Janganlah...  SDM untuk pengajar belum mencukupi seluruh wilayah negeri. Masukin aja kurikulum logika dasar pemrograman, matematika lanjut &amp; diskrit, evaluasi kesiapan jangkauan internet  di seluruh wilayah (belajar ketertarikan ngoding butuh interaksi antar interface &amp; library)";positive
@DSis48 @4tahunlulusamin @arlandwilman @tempodotco bacotmu diajarkan komputerpunya gedung yg punya listrik ngak hidup mati saja sudah setengah mampus, ada ribuan sekolah, guru mapelnya saja masih kekurangan apalagi untuk dapat guru yg ngajar komputer, internet, realistis bro, jangan asal bacot;negative
@biruterank Jadi warga negara malaysia seru tak ee;negative
@tempodotco Nnti kalo website pemerintah di hack anak SD. Jgn marah yaa;negative
@tempodotco Asyik anak sd suruh belajar ai...ntar nanya di chatgpt 'apakah benar kalau budi itu adik wati'....hahaha...sebenarnya tuh bocah  nyadar ga sih ama ucapannya....apa asal bunyi biar kelihatan keren...kekinian;negative
;
;
@axyudha @Pwushink @tempodotco ap nih ak ga diajak;neutral
"@tempodotco Saya ngajar kls X smk basik Microsoft word, excel, ppt saja mereka baru mengenal kalau mau ada mapel coding &amp; ai mohon dengan sangat setiap sekolah siswa dan guru diberikan fasilitas yg mumpuni";neutral
@tempodotco Idenya jelek kayak mukanya;negative
@tempodotco nih orang ngomong mikir atau cuma baca doang sih?;negative
@tempodotco bro ini belum tau kah ada video anak kelas 12 IPA dikasih perkalian dasar ga bisa? maksud saya, quality dulu dimaksimalkan dari jenjang paling dasar gitu...;negative
Astaga, IPK-mu cuma 2,3 kok bicara soal pendidikan?;neutral
@tempodotco Orang ngelanggar hukum ber ipk rendah sok sokan mu ngsih masukan buat pendidikan;negative
@tempodotco Ga yakin dia sendiri bisa wkwkk;negative
@tempodotco Mending guru2nya dulu disejahrerakan;neutral
@tempodotco Sd smp tu tugasnya belajar menjalin komunikasi sama orang, belajsr ilmu dasar, ngada2 aja;negative
"@tempodotco Boro2 mau coding...
Kmrn ada video anak sekolah (smp/sma) ditanya 6+10 dijawab 60..";negative
@tempodotco Cape bgt liatnya, pak wapres apa gatau hal2 yg fundamental anak matematika aja gabisa disuruh lagi belajar coding BKN perbaiki bagian yg salahnya malah nambahin masalah;negative
@tempodotco Harus di benerin dasarnya dulu wong perkalian aja masih ga hapal gimana mau coding kan itu teh perlu rumus gibran !!!;negative
@tempodotco please pak, bapak nggak lihat yang lagi trend di tiktok anak SMA nggak bisa perhitungan sederhana seperti perkalian dan pembagian? lah ini malah disuruh ada mapel AI dan coding;negative
@tempodotco Si paling digital;neutral
@tempodotco Mending perkuat dlu basic solving problemnya, banyak anak smp bahkan sma yang basic calistung aja masih belum mahir. Apalagi suruh belajar ai, DL, ML dengan sgala algoritmanya based on statistika dan aljabar?;neutral
@tempodotco Mau heran tp ipk 2,3. Ya emang ga ngotak ngasih statement, dari debat wapres cm bahas gini biar sok pinter bagi yg gapaham;negative
@tempodotco Gimna jadinya nasib negara jika ditentukan dari kebijakan yang asal bunyi, tanpa kajian ilmiah, hanya gimmick semata.;negative
@tempodotco Tadi pagi denger berita begini di radio, trus penyiarnya blg ada baiknya anak SD lebih di ajarin tata krama dasar, karna ya ngeliat kasus² yang ada sekarang sama liat secara nyata dilingkungan emg kata sederhana kayak makasih, maaf,atau permisi jd kyk kata yg asing buat bbrp org;negative
@tempodotco Jangan kan coding dan AI pa, internet (wifi) aja masih banyak yg belum dapat, chromebook pun tidak dapat, sejahterakan dlu saja para guru honorer, siswa kurang mampu dan sekolah yang layak, baru berbicara selanjut nya;negative
;
"@tempodotco Coding? Buat anak sd-smp?
Dia ngerti ga sih ilmu dasar buat belajar pengcodingan apa?

Malu sama jabatan mas kalo asbun gini";negative
@tempodotco mendingan fokusin lagi ke PKN, sains (biologi, kimia, fisika), matematika yg ga dibikin ribet.. drpd anak jaman skrg dikit2 bikin vt tiktok, coding/ai cukup di pelajaran komputer atau jd ekskul aja, mas gibran..;positive
@shootyoudownz @tempodotco anj adi aing sampe skrg masih berkutat dgn cara bikin kop surat dan tabel;neutral
@tempodotco Pendidikan dasar lebih utama ke personal spt ajarn berbagi, empati, manner, budaya indo, gotong royong, bela rasa dan berkomunikasi. Pendidikan nalar mungkin lebih tepat pada pend menengah, setelah matang pend dasar nya.;positive
@tempodotco mending suruh belajar yg dasar² dulu deh;neutral
@wqwqwqq9 @Tokopaediii @tempodotco Es kolding;neutral
@tempodotco La klo dipelosok msh jarang anak SD/SMP pegang gadget apalagi komputer trs klo mau belajar coding pake apa mas wapres, mosok pake simpoa;negative
;neutral
@criticast_ @Leni05128762806 @tempodotco Udah biarin bang, itu akun pake angka baris. Buang buang tenaga lawan buzzer;neutral
@tempodotco Hafal perkalian 1-10 aja dah syukur bang, bisa nulis dgn huruf yg jelas dibaca aja alhamdulillah;neutral
@tempodotco Saya pernah mengajar TIK di SMP. Anaknya pegang mouse aja susahnya, ngajarin berpikir komputasi dasar saja rasanya sulit, apalagi coding.;negative
@tempodotco ya Allah elu kaga terjun langsung ke lapangan ya kaga usah lahh ngasih wejangan begitu namanya sekolah dasar itu ya pelajarin dasar dluu bjirr bisa mikir dikit ngga?;negative
@tempodotco dongo;negative
@tempodotco Biar pandai seperti beliaauu...;positive
@tempodotco IPK naikin dulu lah, kalo perlu ngulang kuliah, baru omongan dia bisa ditanggepin;neutral
Zaman digital gini, metode belajar juga mesti update terus ya. Ada ide?;neutral
Untuk pengembangan kurikulum, emang butuh masukan dari banyak ahli sih biar pas.;neutral
Program pendidikan yang lalu lagi dievaluasi nih. Kira-kira ada perbaikan apa ya ke depan?;neutral
Materi coding buat anak sekolah itu harusnya disesuaikan umur nggak sih? Biar nggak berat;neutral
@tempodotco kebanyakan gaya, gaji guru aja dlu tuh kasih yg layak, sm pendidikan yg rata. gausah aneh2;negative
@tempodotco Broo ...pedidikan dr dulu banyak masalahnya broo..gk beres sampai sekarang..itu terlalu jauh...sekolah di pedalman saja belum beres...anak2 juga bnyak yg tidak bisa sekolah...guru bnyak juga yg terpuruk ...terjun kelapangan dulu..broo;neutral
@tempodotco Urgensinya apa sih? Coba jelasin sini;neutral
"@tempodotco Proyek nihh... 
Kira2 siapa yang mengawasi ya nanti?";neutral
 Jangan biarkan waktu anak habis belajar coding;negative
@tempodotco Improve the math and logic first!!;neutral
@tempodotco tambah2an ae ga iso kok dsuruh coding;negative
@tempodotco Ini bisa dibilang asbun ga sih;neutral
@tempodotco Kembalikan calistung, ilmu bumi, ilmu sosial, dan pmp/ppkn untuk SD aja boleh ga?;neutral
@tempodotco Bayar sekolah saja susah, apalagi dengan beli perangkat Komputer dengan spek tinggi.Dipikir Jan etes, yang apa² bs langsung keturutan semua kebutuhan sekolahnya,;negative
@tempodotco Nek mau sih dijadiin ekskul atau pelajaran tambahan. Tp ini msh ttp bahaya terutama buat ortu2 yg ambis tp ga ngeliat kondisi anak, ngko anak e teko dilebokkan padahal aritmatik dasar we kangelan;positive
@btarigan906 @Billiardoo @tempodotco  ngapain gila. Malah lucu liat negara dari jauh kaya dagelan tp didukung trus sma buzzer modelan bgini yg justru mau negaranya ancur. Rezim gawaras  ludukung penuh. Sama ga warasnya lupada demi duit. Semua disangkutin  pilpres. Basi . Liat noh pasir laut dicuri. Tau ga lu;negative
@tempodotco Tapi yo mugo2 iki mung ngomong (ben ketok iso ngomong) yoo ora tenanan di cakkan;neutral
@sichelsan @arlandwilman @tempodotco Para ahli kemana ya sis. Mingkem rapet semua manut bae2 sma ide modelan bgitu. Parah udah;neutral
"@tempodotco Hahaha... netizen kenapa serius2 amat komennya, termasuk saya (awalnya)
Tapi sy ingat2 lagi, yg ngomong ini ga tahu beda asam sulfat dan asam folat..jadi ga usah gimana2
wkwkwk";neutral
@tempodotco Buset dah ni anak papa. Dia ga tau apa ga semua anak sekolah punya kapasitas buat bisa coding. Iso nganggo word excel we wes alhamdulillah. Mending ki lu ases bocah2 ki karakteristik bljr e koyo opo dadi koe iso gawe kebijakan sg pas ro karakteristik bocah indonesia;negative
@btarigan906 @Billiardoo @tempodotco Inilah ciri dari orang2 egois mutlak, udah tua tp ga dewasa, yg penting perut sendiri kenyang. Perkara org lain jelungup gantung diri perkara pinjol ya ga urua. Haha sakit otak dan hati sih ini udah. Cepet sembuh ya wak. Ksian anak2mu klo dpt contoh org tua yg ga ada empati bgini;negative
"@tempodotco Harusnya, bilang aja anak2 SD mulai diperkenalkan dg coding dan AI (agar tdk mudah tertipu dunia maya).
Saat pelajaran berakhir.. ditambah 1 jam dg cara yg menarik dg mendatangkan pelatih2 profesional yg dibiayai negara.
Agar anak2 kita ga heran ketika ada foto bs nyanyi, joget2";neutral
@tempodotco Coding dan Ai dia bilang, hey fufufafa kau bilang sama kembaran kau itu ya, anak SD yg byak gw temui calistung yaitu baca tulis hitung, itu aja udah buat mereka tantrum, gelawan, bomat, yg penting tetap naik kelas. elu pikir ni negara isinya jenius doank, org kocak yg byak.;positive
@tempodotco Mustinya dibalikin ke Gibran, emang dia paham itu coding jangan² tahunya dia hilirisasi digital #taex;neutral
;
@tempodotco Hitungan matematis sederhana aja belum bener wkwkwk;neutral
@tempodotco Perkuat daya pikir logika dan moral dulu ga sih utk anak SD? Pinter coding tapi ga punya empati dan tenggang rasa kan ngeriiiii, kayak miara monster.;neutral
@tempodotco 8 / 4 saja banyak yang masih bingung udah ngurusin AI dan coding;neutral
@4tahunlulusamin @arlandwilman @tempodotco Awal munculnya komputer, sy pas SMA kelas 1 hrs belajar dr dasar dr pengenalan, menurutku itu sdh terlambat, harusnya dasar2 itu diajarkan dari awal, itu yg sy maksud, sekarang AI minimal anak2 sdh mengenal dasarnya, kedepan tinggal mendalami, jgn lu kenal ketika udah kuliah.;positive
@tempodotco Nih yaa pentingnya sekolahhh;positive
@tempodotco Semakin menggambarkan bahwa dia bisanya cuma asbun istilah-istilah modern aja biar dibilang keren;neutral
@tempodotco Padahal setiap anak memiliki minat dan bakatnya masing2, padahal kalo cm ngoding mah minta chat gpt bikin kan aja jadi codingnya;negative
@faried_radityo @tempodotco Komputerrr, layak ajah deh dulu banyak sekolah ga layak di bilang sekolahan;neutral
;
@tempodotco Disuruh nyebut negara Eropa aja jawabannya Garut, ini lagi disuruh coding;neutral
@tempodotco bisa fokus ke pemerataan pendidikan nya dulu ga sih, tolong ini mah tolong;neutral
@tempodotco belajar ngetik aja dulu elah, ngapa buru2 dah. terus SMA belajar excel. kepake tuh;negative
@tempodotco Loker programmer aja sedikit di Indonesia malah semua sekolah disuruh belajar coding;negative
@tempodotco wah keren banget usulnya, pasti telah diriset dan dipertimbangkan sebelum memberi usul tersebut.;positive
@tempodotco Bukan sy ga setuju tp coding dan ai itu alat bantu belajarnya mahal dan ga semua sekolah2 memilikinya, mungkin langkah awalnya di setarakan dulu fasilitasnya;neutral
@tempodotco ngapain deh, perkalian dasar aja banyak yg belum hapal ‍♀️;negative
"BAGAIMANA BISA ORANG BODOH JADI WAKIL PRESIDEN?

Pendidikan di Indonesia sudah lama sekali hancur, parahnya, kehancuran itu diperparah dengan ide yang datangnya dari fufufafa. Bagaimana mungkin, siswa sekolah dasar diajarkan tentang AI dan Coding? Sedangkan untuk basic skill menggunakan komputer saja, mereka belum bisa.

Pada usia pendidikan sekolah dasar, harusnya para murid dipetakan, tenaga pendidik harus bisa membaca hobi serta minat murid, setelah pihak sekolah harus memberi dukungan agar bakat para murid bisa berkembang.

Hobi serta minat akademik maupun non akademik harus dikembangkan, karena itu bisa menentukan arah berkembangnya kehidupan para murid di masa depan. Piha sekolah harus bisa mengasah kemampuan murid, sedangkan pemerintah wajib untuk memberikan semua jenis dukungan.

Bayangkan, AI dan Coding pada usia pendidikan di tingkat sekolah dasar begitu senonoh diucapkan oleh fufufafa. Sedangkan, berapa banyak sekolah negeri yang bangunannya hampir ambruk? Berapa banyak sekolah negeri yang belum memiliki komputer maupun PC? Dan yang paling penting, berapa banyak tenaga pendidik yang melek dengan AI serta Coding?

Anehnya, kenapa ide konyol dari orang bodoh ini begitu banyak dukungan? Seharusnya orang-orang yang tingkat kebodohannya di bawah fufufafa bisa memberikan koreksi, kritik, atau apapun agar orang bodoh ini sadar.

Petakanya, Indonesia memiliki Wakil Presiden yang bodoh, akan seperti apa negara ini dalam 5 tahun ke depan?";negative
;neutral
;
"Wapres nya mendorong pembelajaran AI di sekolah 

Menteri pendidikan dasar dan menengah nya justru bilang, 
AI tidak membuat manusia menjadi cerdas tapi menjadi culas

Wapres nya bener2 gak di anggap, buktinya mereka gak sejalan 🤣 https://t.co/UHWvqgLd4X";negative
"ada yang nanya di dm, tapi aku telat jawab dan dia sudah deact, i feel bad for him :(, aku jawab disini aja ya.

dari pandangan aku:

yang pertama sih kita harus belajar dari awal, jangan pernah merasa tertinggal akan sesuatu, apalagi kalo kita ingin sungguh-sungguh bisa jago di hal tersebut. 

nah yang harus kita latih juga tidak harus terkait ngodingnya, kita juga harus melatih bagaimana kita bisa memecahkan suatu masalah dengan logika kita, kalo kamu gampang atau terbiasa untuk memecahkan suatu masalah, menurut ku ini poin plus dibanding kandidat lain, 

belajar ngoding itu tidak terlalu susah, karena media sekarang banyak banget, kamu bisa belajar di youtube, course2, dll. Yang susah itu belajar logika kita agar bisa memecahkan suatu masalah

makanya disediakan platform leetcode, dll. itu tuh dibuat bukan seolah olah kita ngoding doang, tapi itu buat kita melatih seberapa cepat sih kita dalam memecahkan suatu masalah, bahkan dari satu soal pun kita bisa memcahkannya menjadi beberapa jawaban.

selanjutnya sering2 berlatih, buatlah project yang banyak dan juga berkualitas, jadi jika suatu saat kamu dikasih tugas kamu sudah terbiasa untuk mengerjakannya. 

nanti kamu juga akan terbiasa ngoding dengan logika mu itu, tidak banyak nanya AI, dll. AI digunakan hanya untuk membantu kamu dalam penulisan ngoding, dll. Dan kita juga sebenarnya tidak ada salahnya untuk memanfaatkan AI tersebut.

kalo kamu sudah merasa percaya diri, coba aja kamu apply dimana aja, sesuai bidang kamu, 

kamu tidak akan tau kapasitas dirimu sampai kamu ingin mencoba, jadi melangkah saja dulu, dan kita lihat aja sejauh mana kita akan pergi.

disclaimer: aku juga masih kuliah, tips diatas itu berdasarkan pandangan aku yang mungkin bisa bermanfaat buat temen-temen sesama programmer.";positive
"ada istilah “training AI” kita bisa bilang “si AI lagi belajar”. padahal, AI itu cuma program. sedangkan pemograman identik sama, read and write.

nah faktanya.. gambar gambar yg di “train”ke AI ini tuh cuma di-scan(read) dan di-store(write) ke memory si AI. https://t.co/3DIYPAS1Ch";neutral
"📚🤖 Indonesia Ajak BRICS Dorong Adopsi AI dalam Pendidikan

Menteri Pendidikan Yuliarto menegaskan pentingnya kolaborasi internasional untuk mendorong pemanfaatan AI dalam pendidikan, khususnya di negara-negara BRICS.

🇮🇩 Dengan lebih dari 50 juta siswa, 3,3 juta guru, dan 430 ribu sekolah, Indonesia melihat AI sebagai kunci peningkatan kualitas pendidikan.

🔹 Inisiatif nasional: Penyediaan teknologi digital untuk sekolah, Peluncuran platform Rumah Pendidikan untuk akses materi ajar yang dipersonalisasi, Rencana pengenalan pelajaran AI & coding di ribuan sekolah

🎓 Di pendidikan tinggi, Indonesia mendukung pembentukan platform kolaboratif antarnegara BRICS untuk menjawab tantangan pasar tenaga kerja global yang makin kompetitif.";positive
"Pelajaran AI masuk sekolah.
Pertanyaan pertama: siapa yang ngajarin?
Kalau gurunya diajarin AI oleh guru lain yang belum ngerti AI, ini namanya recursive error dalam sistem pendidikan.

Karena yang paling berbahaya bukan AI-nya, tapi manusia yang tak sadar sedang diprogram olehnya. Kita bilang “menggunakan AI”, padahal justru sedang digunakan AI.

Maka penting bukan hanya belajar teknologi, tapi belajar kesadaran, agar kita tak cuma jadi pengguna cerdas, tapi pemimpin di era digital yang tak kehilangan arah jiwa.";positive
"Saya cerita dikit kondisi di pendidikan: 

Pemerintah, pusat dan daerah, begitupun pemimpin sekolah yang notabennya generasi tua, mendorong para guru dan siswa menggunakan AI, karena mereka sendiri menghadapi panic attack setelah digempur ratusan seminar/konten/himbauan pentingnya AI dalam pendidikan.

Guru yang sigap segera menggunakannya, bukan hanya karena membutuhkannya, tapi mengamankan diri, lebih pada, agar tidak tertinggal. 

Guru lain, yang terseok, mencari jalan pintas, hanya mengamankan agar mereka lolos dari sekian asesmen yang menuntut mereka faham AI. 

Pada sisi lain, seperti pepatah: murid kencing berlari. AI mempermudah mereka mengerjakan hampir seluruh tugas mereka. Mereka selalu bisa mendahului guru mereka.

Namun para siswa tidak sadar, bahwa kemampuan mereka dalam belajar telah diambil alih AI yang makin deep, sementara siswa kita makin receh, mudah senang, gampang bosan dan sesekali mengaku kena mental. Mereka kehilangan kemampuan dasar karena diserahkan pada AI. 

Soal ekonomi, Selwyn pernah berkata, apapun yang berhasil dalam ekonomi, selalu dianggap akan berhasil untuk pendidikan. Inilah keyakinan yang harus diuji kembali. 

Saya hanya menvalidasi tweet di bawah ini.";positive
"Ada AI, murid Sekolah Gak Perlu Belajar lagi‼️😏😢

Nasehat GiBRaN @gibran_tweet kepada Para Para Siswa Emang sangat Luar biasa, sungguh ber level Tinggi!

Menuju Indonesia (C)emas!!
Menyala Mas Wapres 🔥 https://t.co/ER1HPdVFil";neutral
"Keberhasilan implementasi AI memerlukan dukungan data, infrastruktur, regulasi, dan edukasi masyarakat yang memadai. 

https://t.co/6UBOcUf8Yr 

#ai #lingkungan #bumi #hijau #teknologi #solusi https://t.co/dlPgENqSuM";positive
"@hadinabd @KemenkesRI padahal Pak Budi ini alumni Fisika ITB loh..

AI itu kan dimodelkan dengan inputan training data dari para Dokter juga

telinga + otak dimodelkan jadi sistem AI berupa sinyal audio, spectrogram, neural network, dan kalau ada reduksi dimensi pakai PCA misalnya https://t.co/ocnNhA3BmF";neutral
"Maksud Hati Biar Terlihat Keren Mengajari Menggunakan AI Untuk Menyelesaikan Pelajaran!

Tapi Malah Mengajarkan Kepada Siswa Untuk Berbuat Curang🤦

Dasar Wapres ""Dongo"" 

Bisa Jadi Wapres Karena Mengakali Kontitusi 🤦 https://t.co/tqHg6OqR00";negative
Di Indonesia, AI gen image dielu-elukan banget PADAHAL ITU GAK KEREN. Walaupun kepanjangannya ‘Artificial Intelligence’ kesannya kyk istilah mOdErn, BUKAN BERARTI KALO KAMU BIKIN KARYA PAKAI AI JADI KEREN paling update tech. ADA MANUSIA BERDAYA, DIINJAK-INJAK DGN DUKUNGANMU KE AI;negative
"indonesia kok udah ai ai aja sih?

kemarin masih industri 4.o, big data, dan PNS pake VR, sekarang dah ai... :(((

bukit algoritmaaaaaaaaaarrrggghhhh https://t.co/oekCUkDUMT";negative
"Iseng2 menggunakan fitur Meta AI di WA. Tidak terlalu lengkap infonya. Tapi lumayan bisa jadi saingan Chat GPT. Hari ini...ga ada alasan orang ga tau suatu hal, tinggal ketik keluar apa yg diinginkan. Saya sampaikan kemarin saat seminar parenting, tugas guru hari ini bukan mentransfer ilmu dan informasi kpd siswa, anda akan kalah oleh google, chat GPT, Meta AI dsj. Tugas guru hari ini lebih kepada menjadi tauladan & uswatun hasanah kpd siswa2nya. Begitupun tugas kita sebagai orangtua menjadi role model bagi anak2nya. Maka benarlah pesan Ali bin Abi Thalib utk kita ; "" Didiklah anakmu sesuai zamannya "".";positive
Bapak ibu guru, beginilah gambaran murid di masa depan yg diajarin AI tanpa memperkuat pengetahuan dasarnya. Mengaku dirinya peneliti tapi cari data pakai AI. Gak bisa mempertanggung jawabkan sampling method, reliabilitas, validitas, dan sitasinya 💀;negative
